String ID,English,Polish
T_GameName,AstroDroids,AstroDroids
T_Play,Play,Graj
T_Customize,Customize ship,Dostosuj statek
T_Leaderboard,Leaderboard,Tabela wyników
T_Settings,Settings,Ustawienia
T_Quit,Quit game,Wyjdź z gry
T_Return,Back,Wróć
T_Body,Body,Kadłub
T_Weapons,Cannons,Działa
T_Engines,Engines,Silniki
T_Cockpit,Cockpit,Kokpit
T_CockpitGlass,Cockpit Glass,Szkło kokpitu
T_Wings,Wings,Skrzydła
T_Select,Select,Wybierz
T_Navigate,Navigate,Nawiguj
T_Tutorial,Tutorial,Samouczek
T_BossRush,Boss Rush,Boss Rush
T_StoryMode,Story Mode,Tryb fabularny
T_Credits,Credits,O autorach
T_BossWarning,! Warning !,! Uwaga !
T_GameOver,Game Over!,Koniec gry!
T_MissionComplete,Mission Complete!,Misja Zakończona!
T_LevelComplete,Level Complete!, Poziom Zakończony!
T_Paused,Paused,Pauza
T_Resume,Resume,Wznów
T_SaveandQuit,Save and Quit,Zapisz i wyjdź
T_Level1,Level 1, Poziom 1
T_Level2,Level 2, Poziom 2
T_Level3,Level 3, Poziom 3
T_Level4,Level 4, Poziom 4
T_Level5,Level 5, Poziom 5
T_Controls,Controls,Sterowanie
T_Audio,Audio,Dźwięk
T_Graphics,Graphics,Grafika
T_Language,Language,Język
T_Volume,Volume,Głośność
T_Music,Music,Muzyka
T_SoundEffects,Sound effects,Efekty dźwiękowe
T_Resolution,Resolution,Rozdzielczość
T_Fullscreen,Fullscreen,Pełny ekran
T_Mode,Mode,Tryb
T_Windowed,Windowed,Okno
T_BorderlessFullscreen,Borderless Fullscreen,Pełny ekran bez ramek
T_English,English,Angielski
T_Polish,Polish,Polski
T_VSync,VSync,VSync
T_Keyboard,Keyboard,Klawiatura
T_Mouse,Mouse,Mysz
T_Gamepad,Gamepad,Pad
